asn=0    	id=-1  	Main	copying configuration file /home/tegsingh/RR/tsch-sim/examples/NullRouting/config.json to output directory /home/tegsingh/RR/tsch-sim/results/2021-07-22_14-51-04/config.json[MAIN]
asn=7    	id=6   	Node	add neighbor id=1
asn=7    	id=6   	Node	Route added to destination node id: 1 through next hop node id: 1 in the routing table of node: 6
asn=7    	id=6   	TSCH	joined/associated at 0.07 on receiving an EB packet from 1[NODE]
asn=7    	id=6   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=7    	id=6   	Main	On new time source method called from NullRouting
asn=7    	id=6   	Main	Start method called from NullRouting
asn=7    	id=6   	Main	add_static method called for 6
asn=7    	id=-1  	Main	error: assertion failed: undefined
asn=7    	id=-1  	Main	error: Error: stack trace
asn=7    	id=-1  	Main	error:     at assert (file:///home/tegsingh/RR/tsch-sim/source/utils.mjs:98:23)
asn=7    	id=-1  	Main	error:     at RoutingTable.add_route (file:///home/tegsingh/RR/tsch-sim/source/route.mjs:80:9)
asn=7    	id=-1  	Main	error:     at Node.add_static (file:///home/tegsingh/RR/tsch-sim/source/node.mjs:330:25)
asn=7    	id=-1  	Main	error:     at NullRouting.start (file:///home/tegsingh/RR/tsch-sim/source/routing_null.mjs:63:19)
asn=7    	id=-1  	Main	error:     at Node.tsch_associate (file:///home/tegsingh/RR/tsch-sim/source/node.mjs:1046:22)
asn=7    	id=-1  	Main	error:     at Node.rx_eb (file:///home/tegsingh/RR/tsch-sim/source/node.mjs:986:18)
asn=7    	id=-1  	Main	error:     at Node.rx_packet_link_layer (file:///home/tegsingh/RR/tsch-sim/source/node.mjs:1067:18)
asn=7    	id=-1  	Main	error:     at Node.commit_rx (file:///home/tegsingh/RR/tsch-sim/source/node.mjs:1525:34)
asn=7    	id=-1  	Main	error:     at Network.step (file:///home/tegsingh/RR/tsch-sim/source/network.mjs:372:22)
asn=7    	id=-1  	Main	error:     at run_simulation (file:///home/tegsingh/RR/tsch-sim/source/simulator.mjs:595:17)
