asn=0    	id=-1  	Main	copying configuration file /home/tegsingh/RR/tsch-sim/examples/NullRouting/config.json to output directory /home/tegsingh/RR/tsch-sim/results/2021-07-22_15-04-28/config.json[MAIN]
asn=0    	id=6   	Node	scanning on channel=20...[NODE]
asn=7    	id=6   	Node	add neighbor id=1
asn=7    	id=6   	Node	Add_route called from ensure neighbor
asn=7    	id=6   	Main	add_static method called for 6
asn=7    	id=6   	Node	Not a Root Node from Add static
asn=7    	id=6   	Node	Route added to destination node id: 1 through next hop node id: 1 in the routing table of node: 6
asn=7    	id=6   	TSCH	joined/associated at 0.07 on receiving an EB packet from 1[NODE]
asn=7    	id=6   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=7    	id=6   	Main	On new time source method called from NullRouting
asn=7    	id=6   	Main	Start method called from NullRouting
asn=7    	id=1   	Main	On tx method called from NullRouting
asn=100  	id=4   	Node	scanning on channel=26...[NODE]
asn=100  	id=5   	Node	scanning on channel=15...[NODE]
asn=200  	id=4   	Node	scanning on channel=20...[NODE]
asn=200  	id=5   	Node	scanning on channel=25...[NODE]
asn=200  	id=2   	Node	scanning on channel=25...[NODE]
asn=301  	id=2   	Node	scanning on channel=15...[NODE]
asn=301  	id=5   	Node	scanning on channel=26...[NODE]
asn=301  	id=4   	Node	scanning on channel=26...[NODE]
asn=402  	id=5   	Node	scanning on channel=15...[NODE]
asn=402  	id=4   	Node	scanning on channel=15...[NODE]
asn=402  	id=3   	Node	scanning on channel=20...[NODE]
asn=402  	id=2   	Node	scanning on channel=26...[NODE]
asn=503  	id=2   	Node	scanning on channel=20...[NODE]
asn=503  	id=4   	Node	scanning on channel=25...[NODE]
asn=503  	id=5   	Node	scanning on channel=25...[NODE]
asn=604  	id=4   	Node	scanning on channel=20...[NODE]
asn=604  	id=5   	Node	scanning on channel=15...[NODE]
asn=604  	id=2   	Node	scanning on channel=26...[NODE]
asn=604  	id=3   	Node	scanning on channel=26...[NODE]
asn=705  	id=5   	Node	scanning on channel=20...[NODE]
asn=705  	id=4   	Node	scanning on channel=26...[NODE]
asn=806  	id=5   	Node	scanning on channel=26...[NODE]
asn=806  	id=4   	Node	scanning on channel=25...[NODE]
asn=806  	id=3   	Node	scanning on channel=25...[NODE]
asn=907  	id=2   	Node	scanning on channel=20...[NODE]
asn=907  	id=4   	Node	scanning on channel=20...[NODE]
asn=907  	id=5   	Node	scanning on channel=15...[NODE]
asn=1008 	id=5   	Node	scanning on channel=26...[NODE]
asn=1008 	id=4   	Node	scanning on channel=25...[NODE]
asn=1008 	id=3   	Node	scanning on channel=26...[NODE]
asn=1109 	id=2   	Node	scanning on channel=15...[NODE]
asn=1109 	id=4   	Node	scanning on channel=26...[NODE]
asn=1109 	id=5   	Node	scanning on channel=25...[NODE]
asn=1210 	id=4   	Node	scanning on channel=20...[NODE]
asn=1210 	id=5   	Node	scanning on channel=26...[NODE]
asn=1210 	id=3   	Node	scanning on channel=20...[NODE]
asn=1210 	id=2   	Node	scanning on channel=25...[NODE]
asn=1311 	id=3   	Node	scanning on channel=25...[NODE]
asn=1311 	id=2   	Node	scanning on channel=20...[NODE]
asn=1311 	id=5   	Node	scanning on channel=15...[NODE]
asn=1311 	id=4   	Node	scanning on channel=26...[NODE]
asn=1412 	id=5   	Node	scanning on channel=26...[NODE]
asn=1412 	id=4   	Node	scanning on channel=20...[NODE]
asn=1412 	id=3   	Node	scanning on channel=26...[NODE]
asn=1513 	id=2   	Node	scanning on channel=25...[NODE]
asn=1513 	id=3   	Node	scanning on channel=15...[NODE]
asn=1513 	id=4   	Node	scanning on channel=26...[NODE]
asn=1513 	id=5   	Node	scanning on channel=15...[NODE]
asn=1568 	id=3   	Node	add neighbor id=1
asn=1568 	id=3   	Node	Add_route called from ensure neighbor
asn=1568 	id=3   	Main	add_static method called for 3
asn=1568 	id=3   	Node	Not a Root Node from Add static
asn=1568 	id=3   	Node	Route added to destination node id: 1 through next hop node id: 1 in the routing table of node: 3
asn=1568 	id=3   	TSCH	joined/associated at 15.68 on receiving an EB packet from 1[NODE]
asn=1568 	id=3   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=1568 	id=3   	Main	On new time source method called from NullRouting
asn=1568 	id=3   	Main	Start method called from NullRouting
asn=1568 	id=5   	Node	add neighbor id=1
asn=1568 	id=5   	Node	Add_route called from ensure neighbor
asn=1568 	id=5   	Main	add_static method called for 5
asn=1568 	id=5   	Node	Not a Root Node from Add static
asn=1568 	id=5   	Node	Route added to destination node id: 1 through next hop node id: 1 in the routing table of node: 5
asn=1568 	id=5   	TSCH	joined/associated at 15.68 on receiving an EB packet from 1[NODE]
asn=1568 	id=5   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=1568 	id=5   	Main	On new time source method called from NullRouting
asn=1568 	id=5   	Main	Start method called from NullRouting
asn=1568 	id=1   	Main	On tx method called from NullRouting
asn=1613 	id=2   	Node	scanning on channel=26...[NODE]
asn=1713 	id=4   	Node	scanning on channel=25...[NODE]
asn=1813 	id=4   	Node	scanning on channel=20...[NODE]
asn=1813 	id=2   	Node	scanning on channel=20...[NODE]
asn=1913 	id=4   	Node	scanning on channel=25...[NODE]
asn=2013 	id=4   	Node	scanning on channel=26...[NODE]
asn=2013 	id=2   	Node	scanning on channel=15...[NODE]
asn=2113 	id=4   	Node	scanning on channel=25...[NODE]
asn=2213 	id=4   	Node	scanning on channel=20...[NODE]
asn=2313 	id=4   	Node	scanning on channel=26...[NODE]
asn=2313 	id=2   	Node	scanning on channel=20...[NODE]
asn=2413 	id=2   	Node	scanning on channel=25...[NODE]
asn=2513 	id=4   	Node	scanning on channel=20...[NODE]
asn=2513 	id=2   	Node	scanning on channel=26...[NODE]
asn=2613 	id=4   	Node	scanning on channel=25...[NODE]
asn=2613 	id=2   	Node	scanning on channel=15...[NODE]
asn=2713 	id=2   	Node	scanning on channel=20...[NODE]
asn=2913 	id=2   	Node	scanning on channel=25...[NODE]
asn=3007 	id=6   	Node	send keepalive packet to=1[NODE]
asn=3007 	id=6   	Main	On prepare tx packet method called from NullRouting
asn=3010 	id=1   	Node	add neighbor id=6
asn=3010 	id=1   	Node	Add_route called from ensure neighbor
asn=3010 	id=1   	Main	add_static method called for 1
asn=3010 	id=1   	Node	Root Node from Add static
asn=3010 	id=-1  	Main	error: assertion failed: undefined
asn=3010 	id=-1  	Main	error: Error: stack trace
asn=3010 	id=-1  	Main	error:     at assert (file:///home/tegsingh/RR/tsch-sim/source/utils.mjs:98:23)
asn=3010 	id=-1  	Main	error:     at RoutingTable.add_route (file:///home/tegsingh/RR/tsch-sim/source/route.mjs:80:9)
asn=3010 	id=-1  	Main	error:     at Node.add_static (file:///home/tegsingh/RR/tsch-sim/source/node.mjs:324:25)
asn=3010 	id=-1  	Main	error:     at Node.ensure_neighbor (file:///home/tegsingh/RR/tsch-sim/source/node.mjs:490:22)
asn=3010 	id=-1  	Main	error:     at Node.rx_packet_link_layer (file:///home/tegsingh/RR/tsch-sim/source/node.mjs:1102:31)
asn=3010 	id=-1  	Main	error:     at Node.commit_rx (file:///home/tegsingh/RR/tsch-sim/source/node.mjs:1529:34)
asn=3010 	id=-1  	Main	error:     at Network.step (file:///home/tegsingh/RR/tsch-sim/source/network.mjs:372:22)
asn=3010 	id=-1  	Main	error:     at run_simulation (file:///home/tegsingh/RR/tsch-sim/source/simulator.mjs:595:17)
asn=3010 	id=-1  	Main	error:     at Module.run_single (file:///home/tegsingh/RR/tsch-sim/source/simulator.mjs:749:5)
asn=3010 	id=-1  	Main	error:     at main (file:///home/tegsingh/RR/tsch-sim/source/main.mjs:153:15)
